,0
_xr_caa_ea_bca0300,25
_xr_crh_iclrh_ticlrh_seven_days_ago,15
_xr_caa_ea_aua1300,39
_xr_i_ssn_distinct_first_last_name_count,12
_xr_caa_ea_bcc5320,32
_xr_ccr_number_of_employers_last_six_months,24
CFI_sties_Inquiry_ratio_15d30d,13
_xr_cfi_sties_sty_monthly_income_ninety_days_ago,13
old_loan_amount,18
_xr_cfi_crosstabs_crosstab_home_address_cell_phone,11
_xr_ccr_sties_sty_C3.dlp_seven_years_ago,16
_xr_ccr_sties_sty_ALL.nto_fifteen_days_ago,11
_xr_caa_ea_bca3510,16
_xr_caa_sties_sty_CA.clu_ninety_days_ago,15
_xr_caa_ea_brc0300,31
email_username_has_firstname_bin,21
bankaccount_to_income,13
last_seen_ssn_days,25
_xr_ccr_sties_sty_C3.inq_twentyfour_hours_ago,12
_xr_caa_ea_all0436,15
dow_5,25
first_seen_email_days,17
digits_in_email_username,32
_xr_caa_ea_rtr1300,47
_xr_ccr_experian_attribute_brc5747,16
CI_NumDaysSincePurchased,23
_xr_ccr_number_of_loans,25
_xr_caa_ea_all2002,23
_xr_ccr_sties_sty_C1.inq_sixty_days_ago,11
_xr_crh_srh_trrhs_trrh_current_balance,38
_xr_caa_ea_all0448,39
_xr_caa_ea_bcc3345,21
_xr_caa_sties_sty_C5.inq_three_years_ago,34
_xr_caa_ea_all2907,18
CF_CFCrosstabCPsum,22
_xr_cfi_crosstabs_crosstab_home_address_home_phone,11
_xr_cfi_i_in_state_bank_i_true,13
_xr_ccr_amount_of_loans_current_and_open,22
_xr_ccr_sties_sty_ALL.aco_three_years_ago,13
CI_NumDaysSinceLastSeenGroup,11
_xr_caa_ea_all0317,32
first_seen_ssn_days,44
_xr_i_months_at_address,28
ssn_to_otherphone,12
email_username_has_lastname_bin,13
MKAM_NumDaysUntilNextPaydate,45
_xr_ccr_sties_sty_ALL.nco_seven_years_ago,11
_xr_caa_ea_all3517,17
CF_CFCrosstabHPsum,21
_xr_cfi_rs_r_one_minute_ago_fifteen_days_ago,11
_xr_cfi_rs_r_twentyfour_hours_ago_ninety_days_ago,24
_xr_ccr_sties_sty_C3.inq_one_year_ago,27
_xr_caa_ea_stu5820,16
_xr_caa_ea_brc3425,13
_xr_caa_ea_rev1360,20
_xr_ccr_sties_sty_ALL.nto_three_years_ago,18
_xr_cfi_rs_r_seven_days_ago_threesixtyfive_days_ago,26
CRH_DiffCB_TermsCB,29
_xr_cfi_rs_r_fifteen_days_ago_threesixtyfive_days_ago,27
email_seen_count,11
CFI_sties_MI_ratio_30d90d,25
_xr_cfi_crosstabs_crosstab_home_address_drivers_license,12
_xr_cfi_rs_r_fifteen_days_ago_ninety_days_ago,20
_xr_ccr_number_of_bank_accounts,17
_xr_ccr_sties_sty_C1.dd_seven_years_ago,17
_xr_caa_ea_trtr3624,11
_xr_cfi_crosstabs_crosstab_home_address_home_address,12
_xr_caa_ea_all3510,19
_xr_caa_ea_bcc0446,16
_xr_crh_srh_trst_tradeline_stability_ninety_days_ago,20
_xr_caa_ea_all5047,15
CFI_sties_Inquiry_ratio_30d90d,22
_xr_ccr_experian_attribute_tpil2712,21
_xr_cfi_multiple_threesixtyfive_days_ago,12
email_to_income,14
_xr_caa_ea_all2357,20
_xr_cfi_points_total_thirty_days_ago,12
_xr_caa_sties_sty_ALL.ato_seven_days_ago,16
_xr_ccr_experian_attribute_tbca2624,21
_xr_caa_ea_col2758,22
_xr_ccr_sties_sty_C1.ato_seven_years_ago,22
_xr_ccr_tradelines_tradeline_ALL.aco_credit_limit,18
WP_IPTypeCellular,11
_xr_caa_ea_iqt9425,15
_xr_ccr_experian_attribute_col3210,16
_xr_cfi_rs_r_seven_days_ago_ninety_days_ago,15
_xr_ccr_sties_sty_C1.inq_ninety_days_ago,12
CRH_Last3Pmts_CCC,17
CRH_MOP_ENG_C_open_and_pastdue,12
_xr_i_bank_account_zeros,11
