,0
_xr_ccr_days_since_reported_income_previously_seen,71
_xr_ccr_sties_sty_C1.inq_one_year_ago,36
_xr_ccr_experian_attribute_trtr3752,53
CRH_ticlrh_ratio_30d90d,29
_xr_ccr_number_of_bank_accounts,17
_xr_ccr_sties_sty_ALL.ato_ninety_days_ago,13
_xr_caa_sties_sty_C3.inq_two_years_ago,49
_xr_ccr_sties_sty_ALL.dd_one_hundred_eighty_days_ago,13
CRH_NumberOfPastDuePayments,18
_xr_ccr_sties_sty_CA.inq_one_year_ago,35
digits_in_email_username,58
_xr_ccr_tradelines_tradeline_ALL.aco_cycles_summarized,58
min_netmonthly,36
CF_CFCrosstabHPsum,23
_xr_ccr_amount_of_loans_current_and_open,28
_xr_cfi_crosstabs_crosstab_home_address_cell_phone,13
_xr_cfi_rs_r_one_minute_ago_thirty_days_ago,16
requestedamount,28
_xr_ccr_experian_attribute_tbca3283,69
_xr_cfi_sties_sty_monthly_income_threesixtyfive_days_ago,13
_xr_caa_ea_bca5070,21
_xr_caa_ea_bcc7117,54
_xr_ccr_tradelines_tradeline_ALL.aco_credit_limit,24
CI_NumDaysSinceLastSeenLocation,16
CFI_sties_Inquiry_ratio_15d30d,18
_xr_ccr_sties_sty_C3.inq_twentyfour_hours_ago,13
_xr_caa_ea_trtr3624,18
_xr_caa_ea_brc3425,20
_xr_ccr_number_of_employers_last_six_months,18
rentorown_O,17
CRH_NumberOfCurrentPayments,23
CF_CFCrosstabEAsum,23
_xr_ccr_sties_sty_C3.dlp_three_years_ago,15
_xr_caa_ea_rev4070,16
_xr_caa_ea_bcc3421,11
CFI_sties_CP_ratio_90d365d,12
CF_CFCrosstabBAsum,15
_xr_caa_ea_bcc0446,24
_xr_ccr_experian_attribute_aua6280,55
WP_IPTypeCellular,19
email_username_has_firstname_bin,19
CF_CFCrosstabCPsum,21
_xr_cfi_sties_sty_home_address_ninety_days_ago,11
_xr_ccr_experian_attribute_col3210,14
CRH_DiffCB_TermsCB,26
_xr_ccr_sties_sty_C1.dd_seven_years_ago,17
_xr_ccr_sties_sty_C1.ato_three_years_ago,15
_xr_ccr_sties_sty_ALL.aco_two_years_ago,17
_xr_ccr_sties_sty_ALL.nto_two_years_ago,17
_xr_cfi_i_total_number_of_fraud_is,38
_xr_cfi_rs_r_one_minute_ago_threesixtyfive_days_ago,20
_xr_crh_iclrh_ticlrh_ninety_days_ago,20
_xr_ccr_experian_attribute_tpil2712,58
_xr_caa_ea_all3510,24
_xr_ccr_highest_number_of_days_past_due,12
_xr_i_months_at_current_employer,16
_xr_cfi_rs_r_seven_days_ago_threesixtyfive_days_ago,35
